transaction_volume,payment_failure_rate,rto_rate,refund_rate,chargeback_rate,cod_percentage,average_transaction_value,risk_score,risk_level
30,0,0,0,0,50,5492.2,0,healthy
30,0,0,0,0,46.67,5602.43,0,healthy
30,0,0,0,0,46.67,5451.93,0,healthy
30,0,0,0,0,46.67,5435.37,0,healthy
30,0,0,0,0,43.33,5363,0,healthy
30,0,0,0,0,43.33,5342.8,0,healthy
30,0,0,0,0,46.67,5175.8,0,healthy
30,0,0,0,0,46.67,5196.5,0,healthy
30,0,0,3.33,0,43.33,5364.6,0,healthy
30,0,0,3.33,0,43.33,5212.53,0,healthy
30,3.33,0,3.33,0,43.33,5118.33,0,healthy
30,6.67,0,3.33,0,43.33,5315.27,8,healthy
30,6.67,0,3.33,0,40,5157.9,8,healthy
30,6.67,3.33,3.33,0,40,5228.6,8,healthy
30,6.67,3.33,3.33,0,40,5192,8,healthy
30,6.67,3.33,3.33,0,40,5208.13,8,healthy
30,6.67,3.33,6.67,0,36.67,5214.77,17,healthy
30,6.67,3.33,6.67,3.33,33.33,5329.57,45,warning
30,6.67,3.33,6.67,3.33,30,5493.27,45,warning
30,6.67,3.33,6.67,3.33,33.33,5476.5,45,warning
30,6.67,6.67,6.67,3.33,36.67,5501.8,45,warning
30,10,6.67,6.67,3.33,33.33,5581.37,50,warning
30,13.33,6.67,6.67,3.33,33.33,5683.93,55,warning
30,13.33,6.67,6.67,3.33,33.33,5671.73,55,warning
30,13.33,6.67,6.67,6.67,36.67,5817.63,67,warning
30,13.33,6.67,6.67,6.67,40,5685.7,67,warning
30,13.33,6.67,6.67,6.67,40,5686.2,67,warning
30,13.33,6.67,6.67,6.67,36.67,5676.37,67,warning
30,13.33,10,6.67,6.67,36.67,5696.63,76,critical
30,13.33,10,6.67,6.67,36.67,5800.07,76,critical
30,13.33,10,6.67,6.67,33.33,5711.07,76,critical
30,13.33,10,10,6.67,36.67,5696.33,82,critical
30,16.67,10,10,6.67,36.67,5655.4,85,critical
30,16.67,10,10,6.67,36.67,5488.9,85,critical
30,16.67,13.33,10,6.67,36.67,5617.5,89,critical
30,16.67,16.67,10,6.67,36.67,5575.5,92,critical
30,16.67,16.67,10,6.67,36.67,5644.67,92,critical
30,16.67,16.67,13.33,6.67,36.67,5708.5,98,critical
30,16.67,20,10,6.67,36.67,5496.9,96,critical
30,16.67,20,13.33,6.67,40,5640,100,critical
30,13.33,20,13.33,6.67,40,5858.27,99,critical
30,10,20,13.33,6.67,43.33,5657.97,94,critical
30,10,20,13.33,6.67,46.67,5572.67,94,critical
30,10,16.67,13.33,6.67,46.67,5456.87,91,critical
30,10,16.67,13.33,6.67,46.67,5617.73,91,critical
30,10,16.67,13.33,6.67,46.67,5486.07,91,critical
30,10,16.67,10,6.67,50,5431.17,85,critical
30,13.33,16.67,10,3.33,50,5577.03,78,critical
30,13.33,16.67,10,3.33,50,5396.4,78,critical
30,13.33,16.67,10,3.33,50,5439.6,78,critical
30,13.33,13.33,10,3.33,46.67,5447.53,74,critical
30,10,13.33,13.33,3.33,50,5366.93,76,critical
30,6.67,16.67,13.33,3.33,53.33,5421.57,74,critical
30,6.67,16.67,13.33,3.33,53.33,5595.03,74,critical
30,6.67,20,13.33,0,50,5515.63,49,warning
30,6.67,20,16.67,0,50,5414.07,53,warning
30,6.67,20,20,0,50,5268.2,53,warning
30,6.67,20,23.33,0,50,4998.27,53,warning
30,6.67,16.67,23.33,3.33,50,4976.93,77,critical
30,6.67,16.67,23.33,3.33,46.67,4849.5,77,critical
30,10,16.67,23.33,3.33,46.67,4998.63,82,critical
30,10,16.67,20,6.67,43.33,4964.9,94,critical
30,6.67,16.67,20,6.67,46.67,5067.17,89,critical
30,6.67,16.67,20,6.67,46.67,5253.03,89,critical
30,6.67,13.33,20,6.67,46.67,5290.03,86,critical
30,6.67,10,20,6.67,46.67,5355.67,82,critical
30,6.67,13.33,20,6.67,46.67,5246.9,86,critical
30,6.67,13.33,20,6.67,46.67,5233.73,86,critical
30,6.67,10,20,10,46.67,5321.83,82,critical
30,6.67,10,16.67,10,46.67,5162.4,82,critical
30,6.67,10,20,10,43.33,5023.5,82,critical
30,10,10,20,10,43.33,5211.53,87,critical
30,13.33,10,20,10,40,5464.3,91,critical
30,13.33,10,20,10,40,5599.63,91,critical
30,13.33,10,20,10,40,5480.03,91,critical
30,13.33,10,23.33,10,40,5700.53,91,critical
30,13.33,10,23.33,10,36.67,5692.87,91,critical
30,10,10,23.33,10,40,5627.9,87,critical
30,10,13.33,23.33,10,40,5654.93,91,critical
30,10,13.33,23.33,10,36.67,5642.7,91,critical
30,10,16.67,23.33,10,40,5656.93,94,critical
30,10,16.67,20,10,40,5700.07,94,critical
30,10,16.67,20,10,36.67,5587.17,94,critical
30,10,16.67,20,10,40,5571.43,94,critical
30,10,13.33,20,10,40,5613.17,91,critical
30,10,13.33,20,10,40,5748.1,91,critical
30,10,13.33,16.67,13.33,36.67,5650.3,91,critical
30,10,13.33,13.33,13.33,40,5837,88,critical
30,10,16.67,13.33,10,40,5987.97,91,critical
30,10,16.67,13.33,10,40,6018.57,91,critical
30,6.67,16.67,13.33,10,40,6110.77,86,critical
30,6.67,20,13.33,6.67,43.33,6153.83,89,critical
30,6.67,20,13.33,10,40,6127.27,89,critical
30,6.67,23.33,13.33,10,43.33,6028.4,92,critical
30,10,23.33,13.33,10,43.33,6118.97,98,critical
30,10,26.67,13.33,10,40,5973.63,99,critical
30,13.33,23.33,13.33,10,40,6066.53,100,critical
30,13.33,23.33,10,10,36.67,6095.8,96,critical
30,16.67,23.33,10,6.67,36.67,6060.03,99,critical
30,16.67,26.67,10,6.67,36.67,6009.07,100,critical
30,16.67,26.67,6.67,6.67,40,6151.93,94,critical
30,16.67,26.67,6.67,6.67,36.67,6169.13,94,critical
30,16.67,26.67,6.67,6.67,40,6017.9,94,critical
30,20,26.67,6.67,6.67,40,5998.77,94,critical
30,20,26.67,6.67,6.67,43.33,6110.17,94,critical
30,20,26.67,6.67,6.67,43.33,5952.3,94,critical
30,20,26.67,6.67,6.67,43.33,5857.07,94,critical
30,23.33,26.67,6.67,6.67,40,5772.7,94,critical
30,23.33,23.33,10,6.67,43.33,5710.93,99,critical
30,23.33,26.67,10,6.67,43.33,5609.1,100,critical
30,23.33,26.67,10,6.67,43.33,5697.53,100,critical
30,23.33,26.67,13.33,6.67,40,5705.77,100,critical
30,23.33,26.67,13.33,6.67,43.33,5579.13,100,critical
